Event_ID,V_rms_pu,V_peak_pu,Crest_Factor,THD_percent,Duration_ms,Dominant_Freq_Hz,Freq_Hz,SNR_dB,Label
PQ_00031,0.5834,1.005,1.723,2.651,87.5,50,49.975,47.89,Sag
PQ_00032,0.7101,1.0929,1.539,9.148,0,50,49.988,49.98,Harmonics
PQ_00033,0.7084,1.0059,1.42,0.033,0,50,50.013,52.66,Normal
PQ_00034,0.6968,1.0004,1.436,0.17,0,50,49.99,39.9,Normal
PQ_00035,0.7198,1.0414,1.447,0.228,0,50,49.991,37.46,Normal
PQ_00036,0.5163,1.0021,1.941,9.732,94.2,50,49.993,52.8,Interruption
PQ_00037,0.7104,1.3337,1.877,3.29,5,50,50.014,49.86,Transient
PQ_00038,0.7081,1.0142,1.432,0.174,0,50,49.984,40.32,Normal
PQ_00039,0.7189,1.0297,1.432,0.13,0,50,49.987,39.03,Normal
PQ_00040,0.7105,1.4831,2.087,0.681,5,50,49.994,38.57,Transient
PQ_00041,0.5246,1.0081,1.922,10.271,91,50,50.008,41.96,Sag
PQ_00042,0.5588,1.0027,1.794,0.576,138.5,50,50.01,52.56,Sag
PQ_00043,0.6933,0.9862,1.423,0.061,0,50,50.019,50.17,Normal
PQ_00044,0.7018,1,1.425,0.068,0,50,49.999,44.98,Normal
PQ_00045,0.9849,1.694,1.72,1.37,103.9,50,49.988,37.39,Swell
PQ_00046,0.6988,0.9993,1.43,0.107,0,50,49.985,42.65,Normal
PQ_00047,0.6541,1.0038,1.535,1.009,26.6,50,49.974,47.52,Sag
PQ_00048,0.7008,1.0011,1.429,0.061,0,50,49.985,46,Normal
PQ_00049,0.6987,0.9916,1.419,0.023,0,50,49.999,54.91,Normal
PQ_00050,0.5892,1.0051,1.706,4.048,60.1,50,49.974,47.46,Interruption
PQ_00051,0.7057,1.0011,1.419,0.041,0,50,49.996,50.79,Normal
PQ_00052,0.9518,1.5736,1.653,0.957,114.3,50,49.98,46.49,Swell
PQ_00053,0.7121,1.0163,1.427,0.076,0,50,49.982,45.09,Normal
PQ_00054,0.6265,1.0038,1.602,4.049,42.7,50,49.998,52.98,Sag
PQ_00055,0.7084,1.0173,1.436,0.163,0,50,50.009,41.16,Normal
PQ_00056,0.7013,0.9948,1.418,0.038,0,50,50.012,51.7,Normal
PQ_00057,0.7082,1.01,1.426,0.075,0,50,50.008,44.82,Normal
PQ_00058,0.7184,1.0462,1.456,0.263,0,50,50.003,35.58,Normal
PQ_00059,0.7141,1.0162,1.423,0.063,0,50,50.021,47.41,Normal
PQ_00060,0.4223,1.0053,2.38,15.425,128.3,50,50.029,43.53,Interruption
PQ_00061,0.2834,1.0003,3.53,9.367,168.7,50,49.988,51.33,Interruption
PQ_00062,0.5154,1.0048,1.949,4.142,100.9,50,50.016,43.43,Sag
PQ_00063,0.7086,0.9939,1.402,6.131,0,50,49.982,48.37,Harmonics
PQ_00064,0.3989,1.0011,2.51,14.525,133.5,50,49.972,54.2,Interruption
PQ_00065,0.6493,1.019,1.569,7.459,32.9,50,49.998,37.56,Interruption
PQ_00066,0.6998,0.9963,1.424,0.053,0,50,49.978,46.32,Normal
PQ_00067,0.6543,1.0149,1.551,1.29,29.4,50,50.014,39.16,Sag
PQ_00068,0.7075,1.0042,1.419,1.342,0,50,50.002,49.42,Notch
PQ_00069,0.9466,1.5604,1.648,1.343,115.5,50,49.963,47.02,Swell
PQ_00070,0.7062,1.0068,1.426,0.075,0,50,49.986,47.22,Normal
PQ_00071,0.8175,1.2225,1.495,0.391,148,50,50.022,44.45,Swell
PQ_00072,0.7157,1.0178,1.422,0.068,0,50,50.006,46.57,Normal
PQ_00073,0.7089,1.0047,1.417,0.034,0,50,49.987,54.61,Normal
PQ_00074,0.7166,1.026,1.432,0.101,0,50,50.023,40.9,Normal
PQ_00075,0.6416,1.0128,1.579,0.984,76.3,50,50.002,39.1,Sag
PQ_00076,0.7111,1.033,1.453,0.033,0,50,50,53.38,Flicker
PQ_00077,0.5868,1.0171,1.733,5.95,60.7,50,50.016,37.83,Interruption
PQ_00078,0.687,1.005,1.463,0.736,38.2,50,50.019,49.25,Sag
PQ_00079,0.863,1.5355,1.779,1.304,77.9,50,49.989,36.13,Swell
PQ_00080,0.5947,1.0061,1.692,0.281,156.7,50,50.013,42.17,Sag
PQ_00081,0.6955,0.9871,1.419,0.043,0,50,49.99,50.22,Normal
PQ_00082,0.5965,1.0042,1.684,2.035,58.4,50,50.008,50.61,Sag
PQ_00083,0.6388,1.0247,1.604,0.26,134.7,50,49.986,39.45,Sag
PQ_00084,0.6903,1.0026,1.452,0.412,43.9,50,50.008,49.66,Sag
PQ_00085,0.7159,1.0156,1.419,0.036,0,50,49.966,51.63,Normal
PQ_00086,0.708,1.0244,1.447,4.902,0,50,49.995,50.02,Harmonics
PQ_00087,0.7103,1.9893,2.801,0.494,5,50,49.997,41.15,Transient
PQ_00088,0.8284,1.2259,1.48,0.164,149.9,50,49.98,54.44,Swell
PQ_00089,0.7083,1.3947,1.969,0.162,5,50,49.98,54.75,Transient
PQ_00090,0.7204,1.024,1.421,0.042,0,50,50.016,48.39,Normal
PQ_00091,0.8241,1.6072,1.95,2.749,43.9,50,50.004,46.72,Swell
PQ_00092,0.7189,1.0209,1.42,0.041,0,50,50.004,51.55,Normal
PQ_00093,0.6715,1.0033,1.494,0.672,21.8,50,49.99,52.19,Sag
PQ_00094,0.7079,1.0345,1.461,0.103,0,50,49.992,42.3,Flicker
PQ_00095,0.6312,1.0093,1.599,1.318,42.1,50,50.01,43.8,Interruption
PQ_00096,0.7138,2.5152,3.524,2.996,5,50,50.021,46.4,Transient
PQ_00097,0.7178,1.0364,1.444,0.108,0,50,49.983,42.15,Flicker
PQ_00098,0.7139,1.0227,1.432,0.066,0,50,49.995,44.13,Normal
PQ_00099,0.7083,1.0157,1.434,0.564,5,50,49.998,40.66,Transient
PQ_00100,0.7079,1.0475,1.48,2.139,5,50,49.994,43.98,Transient
PQ_00101,0.6408,1.0159,1.585,3.75,38.5,50,50,41.94,Sag
PQ_00102,0.7901,1.6716,2.116,1.476,26.3,50,49.989,48.16,Swell
PQ_00103,0.7099,1.0162,1.431,0.072,0,50,49.977,43.8,Normal
PQ_00104,0.8805,1.3242,1.504,0.52,154.6,50,50.011,39.16,Swell
PQ_00105,0.7104,1.0085,1.42,4.295,0,50,49.985,45.85,Notch
PQ_00106,0.7082,1.0081,1.423,0.05,0,50,49.988,45.38,Normal
PQ_00107,0.7408,1.1642,1.572,0.324,65,50,50.031,39.66,Swell
PQ_00108,0.8144,1.2085,1.484,0.231,144.8,50,50,52.93,Swell
PQ_00109,0.7096,1.0278,1.448,0.182,0,50,49.978,39.01,Normal
PQ_00110,0.7081,1.0385,1.466,4.98,0,50,49.991,43.92,Harmonics
PQ_00111,0.7133,1.0122,1.419,0.03,0,50,49.98,53.56,Normal
PQ_00112,0.6885,0.9968,1.448,0.203,0,50,50.043,38.32,Normal
PQ_00113,0.716,1.026,1.433,0.154,0,50,49.992,40.06,Normal
PQ_00114,0.7111,1.0237,1.44,0.036,0,50,50.026,53.89,Flicker
PQ_00115,0.618,1.0227,1.655,2.373,48.9,50,49.992,38.36,Sag
PQ_00116,0.7196,1.0336,1.436,0.141,0,50,50.001,40.91,Normal
PQ_00117,0.9029,1.579,1.749,1.495,92.9,50,49.987,35.44,Swell
PQ_00118,0.8189,1.3119,1.602,0.842,97.5,50,49.966,54.43,Swell
PQ_00119,0.7074,1.0028,1.418,1.404,0,50,50.002,53.77,Notch
PQ_00120,0.774,1.7108,2.21,1.124,20.5,50,50.006,50.54,Swell
PQ_00121,0.4907,1.0017,2.041,11.63,106,50,49.993,53.5,Interruption
PQ_00122,1.1028,1.7498,1.587,0.806,141.3,50,49.999,48.03,Swell
PQ_00123,0.7093,1.629,2.297,0.5,5,50,50.004,38.39,Transient
PQ_00124,0.7066,1.3227,1.872,1.301,5,50,50.017,54.38,Transient
PQ_00125,0.721,1.0307,1.429,0.092,0,50,49.996,43.83,Normal
PQ_00126,0.7087,1.3932,1.966,1.004,5,50,50.028,40.75,Transient
PQ_00127,0.7069,1.0042,1.421,0.029,0,50,49.947,51.41,Normal
PQ_00128,0.72,1.0382,1.442,0.147,0,50,49.984,38.3,Normal
PQ_00129,0.7945,1.258,1.583,0.466,101.5,50,49.968,36.24,Swell
PQ_00130,0.6939,0.9902,1.427,0.081,0,50,49.997,45.82,Normal
PQ_00131,0.6914,1.0175,1.472,1.311,29.7,50,50.009,38.95,Sag
PQ_00132,0.7121,1.0187,1.431,4.155,0,50,49.996,39.03,Notch
PQ_00133,0.7083,1.2164,1.718,1,5,50,50.002,48.39,Transient
PQ_00134,0.5331,1.0016,1.879,1.991,115.9,50,49.986,54.24,Sag
PQ_00135,0.7018,1.0095,1.438,0.134,0,50,50.015,41.04,Normal
PQ_00136,0.4743,1.0015,2.112,16.491,109.7,50,49.991,52.36,Interruption
PQ_00137,1.0014,1.7571,1.755,0.639,100.8,50,50.002,39.63,Swell
PQ_00138,0.6224,1.0057,1.616,1.536,58.4,50,49.963,45.88,Sag
PQ_00139,0.7076,1.1364,1.606,0.227,5,50,49.954,47.22,Transient
PQ_00140,0.7046,1.0034,1.424,0.069,0,50,50.008,46.44,Normal
PQ_00141,0.7115,1.0097,1.419,0.035,0,50,49.992,53.44,Normal
PQ_00142,0.7067,1.0264,1.452,0.661,5,50,50.009,36.52,Transient
PQ_00143,0.7078,1.059,1.496,0.041,0,50,49.99,50.74,Flicker
PQ_00144,0.7094,1.0698,1.508,7.763,0,50,49.991,39.14,Harmonics
PQ_00145,0.7007,0.9935,1.418,0.031,0,50,50.016,54.07,Normal
PQ_00146,0.5906,1.003,1.698,4.725,59.8,50,50.013,49.36,Interruption
PQ_00147,0.71,1.8356,2.585,1.309,5,50,49.973,46.42,Transient
PQ_00148,0.7083,1.0368,1.464,5.803,0,50,49.999,54.64,Harmonics
PQ_00149,0.7,1.0197,1.457,0.208,20.3,50,49.979,38.31,Sag
PQ_00150,0.605,1.0024,1.657,2.944,76.9,50,49.963,52.36,Sag
PQ_00151,0.7089,1.0355,1.461,7.751,0,50,50.029,45.14,Harmonics
PQ_00152,0.3539,1.0073,2.846,7.47,151.9,50,50.05,41.33,Interruption
PQ_00153,0.7146,1.0218,1.43,0.079,0,50,49.992,45.93,Normal
PQ_00154,0.7031,1.035,1.472,0.266,0,50,50.014,35.01,Normal
PQ_00155,0.7095,1.0823,1.525,7.688,0,50,49.996,38.76,Harmonics
PQ_00156,0.5295,1.0129,1.913,10.098,88.1,50,49.975,38.05,Interruption
PQ_00157,0.7052,1.0025,1.422,0.059,0,50,50.033,47.24,Normal
PQ_00158,0.7045,1.0182,1.445,0.153,0,50,49.994,38.43,Normal
PQ_00159,0.7092,1.0402,1.467,0.252,0,50,50.028,35.74,Flicker
PQ_00160,0.7094,1.012,1.426,0.081,0,50,49.976,44.46,Normal
PQ_00161,0.7318,1.0702,1.462,0.165,0,50,49.998,38.35,Flicker
PQ_00162,0.7084,1.0414,1.47,6.012,0,50,49.999,45.86,Harmonics
PQ_00163,0.7078,1.7371,2.454,1.957,5,50,50.002,48.45,Transient
PQ_00164,0.7005,1.0031,1.432,0.161,0,50,50.005,41.65,Normal
PQ_00165,0.6551,1.0032,1.531,1.278,63,50,49.991,50,Sag
PQ_00166,0.7036,1.0068,1.431,0.107,0,50,50.007,42.68,Normal
PQ_00167,0.3909,1.0057,2.573,6.206,146.8,50,50.008,43.36,Sag
PQ_00168,0.3703,1.007,2.719,13.759,145,50,49.975,38.52,Interruption
PQ_00169,0.4427,1.0005,2.26,4.23,125.1,50,50.018,50.71,Sag
PQ_00170,0.7211,1.024,1.42,0.05,0,50,49.97,49.72,Normal
PQ_00171,0.7102,1.0828,1.525,9.357,0,50,50.001,52.08,Harmonics
PQ_00172,0.6182,1.006,1.627,1.134,106.1,50,50.008,43.79,Sag
PQ_00173,0.5655,1.003,1.774,6.975,71.5,50,49.989,50.6,Interruption
PQ_00174,0.646,1.0253,1.587,1.378,64.6,50,50.005,37.21,Sag
PQ_00175,0.6946,0.9856,1.419,0.041,0,50,50,52.09,Normal
PQ_00176,0.7115,1.1237,1.579,10.99,0,50,49.977,43.77,Harmonics
PQ_00177,0.7119,1.7332,2.435,0.512,5,50,50.021,43.59,Transient
PQ_00178,0.6974,1.0049,1.441,0.669,28.3,50,50.054,47.72,Sag
PQ_00179,0.699,0.9971,1.426,0.093,0,50,49.982,43.5,Normal
PQ_00180,0.6552,1.0049,1.534,0.814,30.3,50,50.003,48.36,Sag
PQ_00181,0.7,0.9989,1.427,0.075,0,50,49.993,45.22,Normal
PQ_00182,0.7087,1.4659,2.068,0.263,5,50,49.994,52.47,Transient
PQ_00183,0.7071,1.0156,1.436,0.071,0,50,50.007,47.05,Flicker
PQ_00184,0.6155,1.0034,1.63,1.798,60.6,50,50.015,52.83,Sag
PQ_00185,1.09,1.6861,1.547,0.373,150.5,50,50.016,52.82,Swell
PQ_00186,0.6926,1.0026,1.448,0.149,0,50,50.005,38.42,Normal
PQ_00187,0.7112,1.9582,2.754,1.645,5,50,50.004,48.79,Transient
PQ_00188,0.7077,1.0274,1.452,0.202,0,50,50.009,37.27,Normal
PQ_00189,0.9897,1.7916,1.81,2.224,87.7,50,49.99,46.67,Swell
PQ_00190,0.6303,1.0094,1.602,1.319,77.5,50,50.008,42.67,Sag
PQ_00191,0.6781,1.0177,1.501,0.335,76.9,50,50.014,39.11,Sag
PQ_00192,0.9041,1.4357,1.588,0.813,122.3,50,50.004,53.55,Swell
PQ_00193,0.7135,1.0251,1.437,8.147,0,50,49.989,38.43,Notch
PQ_00194,0.6574,1.005,1.529,2.36,42.4,50,49.985,48.16,Sag
PQ_00195,0.7129,1.0163,1.426,5.633,0,50,50.013,40.84,Notch
PQ_00196,0.7185,1.0328,1.437,0.098,0,50,49.975,43.18,Flicker
PQ_00197,0.6017,1.0061,1.672,1.985,60.2,50,50.005,47.68,Sag
PQ_00198,0.7079,1.2379,1.749,0.262,5,50,50.023,53.45,Transient
PQ_00199,0.7076,1.186,1.676,1.134,5,50,50.006,40.33,Transient
PQ_00200,0.822,1.2367,1.504,0.479,139.6,50,49.994,43.77,Swell
PQ_00201,0.7122,1.7802,2.5,1.449,5,50,49.994,38.01,Transient
PQ_00202,0.7754,1.6511,2.129,3.371,26.6,50,50.015,46.6,Swell
PQ_00203,0.7088,1.0753,1.517,6.474,0,50,49.977,53.82,Harmonics
PQ_00204,0.3031,1.0006,3.302,40.574,165,50,50.001,54.83,Interruption
PQ_00205,0.7091,1.1935,1.683,0.902,5,50,49.957,38.51,Transient
PQ_00206,0.5723,1.0105,1.766,1.093,115.9,50,50.029,40.49,Sag
PQ_00207,0.7064,1.003,1.42,0.03,0,50,50.005,53.41,Normal
PQ_00208,0.6955,0.9975,1.434,0.074,0,50,50.028,43.63,Normal
PQ_00209,0.707,1.0029,1.419,0.032,0,50,49.997,53.66,Normal
PQ_00210,0.711,1.0186,1.433,0.151,0,50,50.014,40.55,Normal
PQ_00211,0.7082,1.0917,1.541,5.357,0,50,49.993,38.9,Harmonics
PQ_00212,0.7073,1.2617,1.784,0.338,5,50,50.051,42.26,Transient
PQ_00213,0.7072,1.1929,1.687,1.149,5,50,49.973,52.9,Transient
PQ_00214,0.7109,1.2443,1.75,2.308,5,50,50.007,36.01,Transient
PQ_00215,0.5228,1.0024,1.917,6.828,94.2,50,50.013,51.53,Sag
PQ_00216,0.7127,1.0176,1.428,0.086,0,50,50.01,46.67,Normal
PQ_00217,0.6724,1.0272,1.528,1.009,54.2,50,49.996,35.85,Sag
PQ_00218,0.5822,1.0076,1.731,8.647,65.5,50,49.989,43.47,Interruption
PQ_00219,0.7096,1.7343,2.444,0.801,5,50,49.991,49.54,Transient
PQ_00220,0.7174,1.0193,1.421,0.048,0,50,50.046,50.9,Normal
PQ_00221,0.7111,1.0266,1.444,0.184,0,50,50.002,37.55,Normal
PQ_00222,0.7091,1.0515,1.483,7.719,0,50,49.997,43.28,Harmonics
PQ_00223,0.7081,1.0325,1.458,0.083,0,50,49.95,43.7,Flicker
PQ_00224,0.9104,1.7003,1.868,1.508,69.9,50,50.017,53.51,Swell
PQ_00225,0.7101,0.9576,1.349,9.101,0,50,49.997,54.64,Harmonics
PQ_00226,0.7094,1.0669,1.504,8.157,0,50,50.001,53.16,Harmonics
PQ_00227,0.7039,1.0021,1.424,0.061,0,50,49.96,47.56,Normal
PQ_00228,0.708,1.0321,1.458,4.799,0,50,49.994,45.25,Harmonics
PQ_00229,0.5629,1.0032,1.782,0.184,158.6,50,49.991,52.33,Sag
PQ_00230,0.7653,1.1101,1.45,0.095,154.9,50,50.006,54.57,Swell
PQ_00231,0.7081,1.0264,1.45,5.439,0,50,50.019,39.12,Harmonics
PQ_00232,0.7072,1.0332,1.461,0.254,0,50,49.989,35.23,Normal
PQ_00233,0.7089,1.0105,1.426,0.07,0,50,49.997,44.97,Normal
PQ_00234,0.7111,1.0179,1.431,0.117,0,50,50.007,41.86,Normal
PQ_00235,0.711,1.4903,2.096,0.403,5,50,49.972,42.76,Transient
PQ_00236,0.7159,1.0175,1.421,0.031,0,50,50.032,53.42,Normal
PQ_00237,0.5761,1.0095,1.752,3.154,83.1,50,49.968,43.33,Sag
PQ_00238,0.7095,1.0258,1.446,0.17,0,50,50.001,38.47,Normal
PQ_00239,0.6392,1.018,1.593,3.403,43.8,50,50.001,36.73,Sag
PQ_00240,0.7113,1.0166,1.429,0.101,0,50,50.039,44.27,Normal
PQ_00241,0.7095,1.0135,1.429,3.091,0,50,50.003,41.86,Notch
PQ_00242,0.7132,2.0154,2.826,3.744,5,50,49.994,43.64,Transient
PQ_00243,0.7103,1.016,1.43,0.109,0,50,50.008,43.56,Normal
PQ_00244,0.8334,1.6399,1.968,3.014,48.3,50,49.995,42.17,Swell
PQ_00245,0.6539,1.0141,1.551,0.764,86,50,50.015,41.3,Sag
PQ_00246,0.6203,1.0173,1.64,2.213,58.1,50,50.006,37.29,Sag
PQ_00247,0.4636,1.002,2.161,3.562,124,50,49.996,53.62,Sag
PQ_00248,0.7339,1.2372,1.686,0.587,30.6,50,50.011,43.68,Swell
PQ_00249,0.4197,1.0014,2.386,18.292,126.6,50,49.994,52.94,Interruption
PQ_00250,0.7557,1.258,1.665,1.336,50.6,50,50.035,43.29,Swell
PQ_00251,0.5497,1.0072,1.832,3.091,110.3,50,50.025,42.85,Sag
PQ_00252,0.6268,1.0029,1.6,0.728,116.3,50,49.965,49.55,Sag
PQ_00253,0.7083,1.0394,1.467,3.342,0,50,50.011,35.05,Notch
PQ_00254,0.7107,1.8926,2.663,0.664,5,50,50.01,40.51,Transient
PQ_00255,0.7118,1.047,1.471,0.238,0,50,50.027,36.3,Flicker
PQ_00256,0.7103,1.1438,1.61,9.217,0,50,49.992,43.98,Harmonics
PQ_00257,0.652,1.0137,1.555,1.168,48.5,50,50.002,40.84,Sag
PQ_00258,0.7029,0.9987,1.421,0.057,0,50,49.985,48.01,Normal
PQ_00259,0.5902,1.0067,1.706,3.635,61.7,50,49.983,45.93,Sag
PQ_00260,0.7048,1.0043,1.425,0.063,0,50,49.953,46.47,Normal
PQ_00261,0.7076,1.0232,1.446,0.351,5,50,49.969,38.26,Transient
PQ_00262,0.7168,1.0181,1.42,0.04,0,50,50.002,50.9,Normal
PQ_00263,0.4054,1.0106,2.493,3.14,143.4,50,50.002,39.46,Sag
PQ_00264,0.721,1.0391,1.441,0.172,0,50,49.994,38.93,Normal
PQ_00265,0.7039,1.0014,1.423,0.043,0,50,49.986,48.08,Normal
PQ_00266,0.7086,1.0304,1.454,5.807,0,50,49.961,46.41,Harmonics
PQ_00267,0.7077,1.0184,1.439,0.167,0,50,50.026,39.94,Normal
PQ_00268,0.7096,1.0277,1.448,0.036,0,50,49.982,52.38,Flicker
PQ_00269,0.5612,1.005,1.791,1.541,127.9,50,49.973,45.64,Sag
PQ_00270,0.7112,1.5985,2.248,3.552,5,50,50.002,39.48,Transient
PQ_00271,0.6241,1.0191,1.633,1.786,59.3,50,50.008,37.34,Sag
PQ_00272,0.8466,1.7648,2.085,1.956,44.2,50,50.016,54.22,Swell
PQ_00273,0.6272,1.0176,1.622,3.985,41.5,50,49.981,36.42,Interruption
PQ_00274,0.708,1.039,1.468,4.82,0,50,49.99,49.74,Harmonics
PQ_00275,0.6674,1.0341,1.55,1.07,45.4,50,50.001,35.43,Sag
PQ_00276,0.6533,1.0147,1.553,1.57,42.8,50,50.011,40.82,Sag
PQ_00277,0.7082,1.031,1.456,5.497,0,50,49.971,37.79,Harmonics
PQ_00278,0.5084,1.0046,1.976,12.307,97.7,50,50.013,46.47,Interruption
PQ_00279,0.7091,1.0288,1.451,7.504,0,50,49.984,42.34,Harmonics
PQ_00280,0.7085,1.1372,1.605,0.357,5,50,50.019,47.47,Transient
PQ_00281,0.7144,1.0172,1.424,0.057,0,50,49.991,49.32,Normal
PQ_00282,0.7025,1.0179,1.449,0.195,0,50,49.983,36.9,Normal
PQ_00283,0.8086,1.2353,1.528,0.277,121.5,50,49.99,51.05,Swell
PQ_00284,1.0498,1.8031,1.718,1.53,111.5,50,49.999,39.62,Swell
PQ_00285,0.7116,1.0295,1.447,0.209,0,50,49.982,35.12,Normal
PQ_00286,0.7084,1.0728,1.514,6.148,0,50,50.009,47.43,Harmonics
PQ_00287,0.7063,1.009,1.429,0.106,0,50,50.015,43.02,Normal
PQ_00288,0.6877,0.981,1.426,0.098,0,50,50.012,45.04,Normal
PQ_00289,0.6476,1.0189,1.573,7.264,34,50,50.01,39.63,Interruption
PQ_00290,0.7093,1.0412,1.468,0.044,0,50,50.004,50.65,Flicker
PQ_00291,0.7016,0.999,1.424,0.064,0,50,50.036,47.17,Normal
PQ_00292,0.4207,1.0035,2.385,11.16,128.9,50,50.022,45.37,Interruption
PQ_00293,0.8952,1.4855,1.659,1.461,108.5,50,50.031,36.39,Swell
PQ_00294,0.7089,1.0168,1.434,0.141,0,50,50.01,42,Normal
PQ_00295,0.4004,1.0144,2.534,19.805,137.1,50,50.018,35.48,Interruption
PQ_00296,0.6998,1.0053,1.436,0.147,0,50,49.978,40.33,Normal
PQ_00297,0.659,1.0021,1.521,6.697,25.4,50,50.009,54.6,Interruption
PQ_00298,0.64,1.0169,1.589,1.178,96.4,50,49.996,37.53,Sag
PQ_00299,0.5419,1.0017,1.849,2.483,118.7,50,50.01,51.29,Sag
PQ_00300,0.6912,0.9858,1.426,0.054,0,50,50.013,45.32,Normal
PQ_00301,0.7087,1.3964,1.97,0.504,5,50,49.97,52.1,Transient
PQ_00302,0.7073,1.3149,1.859,0.719,5,50,49.977,43.34,Transient
PQ_00303,0.5068,1.0177,2.008,5.048,105.1,50,50.032,35.93,Sag
PQ_00304,0.8179,1.3375,1.635,1.272,85.7,50,49.968,50.93,Swell
PQ_00305,0.7079,1.0513,1.485,0.107,5,50,49.965,46.48,Transient
PQ_00306,0.7071,1.0078,1.425,0.068,0,50,49.978,47.03,Normal
PQ_00307,0.7142,1.0758,1.506,0.104,0,50,49.989,41.78,Flicker
PQ_00308,0.8537,1.4704,1.722,0.828,83.3,50,49.996,42.63,Swell
PQ_00309,0.674,1.0096,1.498,0.667,20.4,50,49.994,45.1,Sag
PQ_00310,0.7132,1.0123,1.419,0.038,0,50,50.041,51.48,Normal
PQ_00311,0.6018,1.0046,1.669,3.383,66.9,50,50.012,50.16,Sag
PQ_00312,0.4814,1.0033,2.084,2.347,124.1,50,50.024,42.54,Sag
PQ_00313,0.7087,1.0175,1.436,5.966,0,50,50,37.99,Harmonics
PQ_00314,0.7102,1.0268,1.446,0.141,0,50,49.995,38.99,Normal
PQ_00315,0.7095,1.061,1.495,0.16,0,50,49.969,36.13,Flicker
PQ_00316,0.6444,1.0095,1.566,3.148,36.4,50,50.046,43.99,Sag
PQ_00317,0.7093,1.0074,1.42,0.033,0,50,50.009,50.8,Normal
PQ_00318,0.8136,1.7699,2.176,2.301,31.3,50,50,43.97,Swell
PQ_00319,0.7103,1.0204,1.437,4.177,0,50,50.025,38.41,Notch
PQ_00320,0.7073,1.0164,1.437,0.233,0,50,49.987,37.71,Normal
PQ_00321,0.7085,1.0414,1.47,6.077,0,50,49.998,45.3,Harmonics
PQ_00322,0.7172,1.0168,1.418,0.029,0,50,49.999,54.31,Normal
PQ_00323,0.7074,1.0283,1.454,3.247,0,50,50.009,44.34,Harmonics
PQ_00324,0.7066,1.3733,1.943,1.439,5,50,50.022,48.52,Transient
PQ_00325,0.5491,1.0186,1.855,4.72,79.6,50,50.017,38.62,Sag
PQ_00326,0.2737,1.0014,3.659,8.282,170.2,50,49.99,41.22,Interruption
PQ_00327,0.7079,1.0577,1.494,5.097,0,50,50.023,43.49,Harmonics
PQ_00328,0.6959,0.9899,1.422,0.057,0,50,50.061,49.63,Normal
PQ_00329,0.5886,1.0014,1.701,1.36,115.5,50,49.994,53.72,Sag
PQ_00330,0.6158,1.0025,1.628,3.708,55.4,50,50,54.37,Sag
PQ_00331,0.7035,1.0076,1.432,0.147,0,50,50.023,39.32,Normal
