rms_voltage,peak_voltage,crest_factor,thd,duration,dominant_freq,system_freq,snr,label
0.6043,1.0164,1.682,0.909,114.5,50,49.993,36.78,Sag
0.7094,1.0057,1.418,0.036,0.0,50,50.019,53.01,Normal
0.7945,1.6595,2.089,3.307,30.3,50,50.028,45.54,Swell
0.5955,1.0091,1.695,1.959,82.4,50,49.988,45.78,Sag
0.7091,1.035,1.46,0.041,0.0,50,50.019,49.93,Flicker
0.7014,1.0331,1.473,0.239,0.0,50,50.024,35.7,Normal
0.8959,1.6648,1.858,1.675,73.2,50,49.993,35.81,Swell
0.7088,1.0043,1.417,1.854,0.0,50,49.983,52.06,Notch
0.7039,0.9999,1.421,0.055,0.0,50,50.001,49.86,Normal
0.7007,0.9996,1.427,0.062,0.0,50,50.009,47.23,Normal
0.709,1.0133,1.429,0.09,0.0,50,49.983,44.15,Normal
0.7356,1.2428,1.69,1.113,30.2,50,49.97,52.63,Swell
0.7763,1.2105,1.559,0.88,99.8,50,49.977,36.36,Swell
0.7081,1.031,1.456,0.169,0.0,50,50.01,37.6,Normal
0.7083,1.0282,1.452,0.115,0.0,50,50.006,42.68,Flicker
0.7027,1.0115,1.44,0.168,0.0,50,49.98,38.04,Normal
0.7128,1.0105,1.418,0.022,0.0,50,49.996,54.52,Normal
0.7138,1.0115,1.417,0.03,0.0,50,49.98,54.83,Normal
0.6435,1.0037,1.56,2.663,33.8,50,49.98,49.43,Sag
1.1262,1.7498,1.554,0.631,151.4,50,50.014,44.46,Swell
0.7128,1.0201,1.431,0.09,0.0,50,50.03,44.51,Normal
0.7074,1.0244,1.448,0.123,0.0,50,50.016,41.28,Flicker
0.6225,1.0039,1.613,6.615,46.1,50,49.998,50.57,Sag
0.5302,1.0123,1.909,0.789,155.7,50,49.99,40.39,Sag
0.7041,1.0155,1.442,0.147,0.0,50,50.001,41.25,Normal
0.7101,1.1117,1.565,9.389,0.0,50,50.018,51.47,Harmonics
0.7182,1.0195,1.42,0.035,0.0,50,50.008,53.63,Normal
0.8976,1.701,1.895,2.337,64.5,50,49.995,40.7,Swell
0.5542,1.0029,1.81,1.812,98.4,50,49.999,50.81,Sag
0.7026,1.0018,1.426,0.094,0.0,50,49.991,44.07,Normal
0.7084,1.0578,1.493,0.037,0.0,50,49.995,52.84,Flicker
0.7076,1.5158,2.142,0.396,5.0,50,50.029,47.45,Transient
0.592,1.0018,1.692,4.327,59.3,50,49.99,54.35,Interruption
0.7089,1.7099,2.412,0.792,5.0,50,49.976,35.71,Transient
0.8631,1.7412,2.017,1.776,47.4,50,49.998,52.86,Swell
0.7138,1.0175,1.426,0.052,0.0,50,50.021,44.92,Normal
0.7096,1.0492,1.479,8.816,0.0,50,50.033,46.75,Harmonics
1.1234,1.7585,1.565,0.935,150.8,50,49.964,42.51,Swell
0.4987,1.0058,2.017,2.435,100.0,50,49.994,51.18,Interruption
0.7863,1.2761,1.623,1.019,73.6,50,50.01,54.97,Swell
0.6995,1.0059,1.438,0.152,0.0,50,50.04,40.07,Normal
0.709,1.1911,1.68,2.766,5.0,50,50.013,52.36,Transient
0.7082,1.0568,1.492,5.362,0.0,50,49.992,48.1,Harmonics
0.4877,1.0066,2.064,1.266,135.6,50,49.962,39.57,Sag
0.8833,1.6836,1.906,2.038,63.4,50,49.973,47.96,Swell
0.6433,1.0041,1.561,0.665,125.9,50,50.01,49.79,Sag
0.6121,1.0033,1.639,2.019,83.4,50,49.975,51.56,Sag
0.7077,1.0245,1.448,0.03,0.0,50,50.007,53.39,Flicker
0.709,1.5353,2.166,0.352,5.0,50,49.954,47.78,Transient
0.7094,1.0322,1.455,0.142,0.0,50,49.971,39.08,Flicker
0.7087,1.0277,1.45,2.33,5.0,50,49.992,37.01,Transient
0.7339,1.2372,1.686,0.587,30.6,50,50.011,43.68,Swell
0.7011,0.9998,1.426,0.086,0.0,50,49.97,44.97,Normal
0.7134,1.0258,1.438,0.136,0.0,50,50.035,39.35,Normal
0.7059,1.0017,1.419,0.037,0.0,50,50.028,51.85,Normal
0.9377,1.789,1.908,2.207,71.2,50,49.991,38.73,Swell
0.7098,1.015,1.43,0.141,0.0,50,50.023,42.14,Normal
0.6958,0.9865,1.418,0.033,0.0,50,49.967,53.07,Normal
0.7339,1.0586,1.443,0.039,0.0,50,49.959,51.67,Flicker
0.7067,1.0241,1.449,0.167,0.0,50,50.003,36.2,Normal
0.7829,1.1929,1.524,0.674,108.6,50,49.958,54.33,Swell
0.7107,1.0106,1.422,0.059,0.0,50,50.004,47.8,Normal
0.7116,1.0213,1.435,0.131,0.0,50,50.019,41.75,Normal
0.7081,1.2376,1.748,2.133,5.0,50,50.0,53.89,Transient
0.7147,1.0194,1.426,0.083,0.0,50,50.015,43.95,Normal
0.7095,1.1164,1.573,8.461,0.0,50,50.017,51.12,Harmonics
0.7051,1.0095,1.432,0.131,0.0,50,50.018,42.07,Normal
0.7095,1.0082,1.421,5.361,0.0,50,49.971,44.07,Notch
0.5791,1.0028,1.732,5.067,65.7,50,50.011,51.33,Interruption
0.2737,1.0014,3.659,8.282,170.2,50,49.99,41.22,Interruption
1.0103,1.7635,1.745,1.821,104.3,50,50.002,38.84,Swell
0.7746,1.5277,1.972,2.822,30.4,50,49.99,45.44,Swell
0.5939,1.0205,1.718,5.535,58.6,50,49.982,35.21,Interruption
0.7084,1.0041,1.417,1.248,0.0,50,49.997,51.42,Notch
0.412,1.0022,2.433,5.35,137.1,50,50.011,50.43,Sag
0.7007,1.0069,1.437,0.149,0.0,50,50.007,39.64,Normal
0.7083,1.03,1.454,0.082,0.0,50,50.003,42.85,Flicker
0.7855,1.1483,1.462,0.261,151.6,50,49.955,49.7,Swell
0.7068,1.196,1.692,1.109,5.0,50,50.025,35.56,Transient
0.7579,1.3527,1.785,0.933,37.6,50,50.014,54.96,Swell
0.7106,1.9458,2.738,0.628,5.0,50,50.028,40.77,Transient
0.705,1.0048,1.425,0.062,0.0,50,50.023,47.17,Normal
0.7232,1.0481,1.449,0.15,0.0,50,50.027,39.84,Normal
0.7093,1.2245,1.726,0.765,5.0,50,49.993,54.91,Transient
0.9687,1.7203,1.776,1.367,92.1,50,50.011,53.57,Swell
0.7095,1.0514,1.482,0.073,0.0,50,50.011,47.7,Flicker
0.7683,1.3413,1.746,1.039,45.1,50,49.982,54.76,Swell
0.7083,1.0289,1.453,0.205,0.0,50,49.99,35.25,Normal
0.7112,1.0385,1.46,0.176,0.0,50,50.019,36.15,Normal
0.7103,1.0365,1.459,0.237,0.0,50,49.997,35.87,Normal
0.9144,1.6653,1.821,1.638,76.0,50,50.057,41.23,Swell
0.7284,1.1879,1.631,0.745,31.1,50,49.953,45.18,Swell
0.704,1.0037,1.426,0.079,0.0,50,49.997,44.73,Normal
0.7027,0.9982,1.42,0.058,0.0,50,49.995,48.35,Normal
0.8047,1.7191,2.136,3.865,31.0,50,50.023,36.31,Swell
0.7165,1.0363,1.446,0.188,0.0,50,50.004,37.67,Normal
0.7077,1.015,1.434,0.608,5.0,50,50.036,39.09,Transient
0.7098,1.054,1.485,8.775,0.0,50,50.01,38.78,Harmonics
0.7064,1.0049,1.422,0.058,0.0,50,50.001,47.65,Normal
0.7198,1.0365,1.44,0.147,0.0,50,49.994,39.44,Normal
0.7108,1.0164,1.43,0.094,0.0,50,50.008,43.64,Normal
0.7108,1.0087,1.419,0.041,0.0,50,50.023,51.05,Normal
0.7058,1.0043,1.423,0.057,0.0,50,49.985,49.68,Normal
0.6661,1.0162,1.526,4.621,25.3,50,49.994,38.71,Sag
0.7143,2.6853,3.759,1.024,5.0,50,50.019,35.14,Transient
0.7075,1.1489,1.624,0.228,5.0,50,49.976,48.15,Transient
0.792,1.8043,2.278,2.292,23.4,50,49.993,36.72,Swell
0.7031,0.9987,1.42,0.035,0.0,50,50.023,50.75,Normal
0.7023,0.9984,1.422,0.063,0.0,50,49.998,48.25,Normal
0.7087,1.0051,1.418,0.036,0.0,50,49.998,53.0,Normal
0.7075,1.0025,1.417,0.326,0.0,50,50.029,53.14,Notch
0.7147,1.013,1.417,0.029,0.0,50,49.982,53.87,Normal
0.7047,1.0032,1.424,0.075,0.0,50,49.995,47.09,Normal
0.7139,1.0227,1.432,0.066,0.0,50,49.995,44.13,Normal
0.7091,1.105,1.558,7.486,0.0,50,49.995,48.26,Harmonics
0.6477,1.0194,1.574,3.409,36.4,50,49.99,38.5,Sag
0.7088,1.0097,1.424,0.039,0.0,50,50.029,49.97,Normal
0.7163,1.0217,1.426,0.064,0.0,50,49.993,46.05,Normal
0.7085,1.3649,1.926,1.113,5.0,50,49.988,47.7,Transient
0.7079,1.0039,1.418,0.043,0.0,50,49.989,51.45,Normal
0.6883,1.0089,1.466,1.06,26.5,50,49.982,44.16,Sag
0.5155,1.0025,1.945,4.259,104.9,50,50.008,50.93,Sag
0.7097,1.0099,1.423,0.058,0.0,50,49.976,48.57,Normal
0.9088,1.6882,1.858,2.327,71.2,50,49.995,48.33,Swell
0.7075,1.3234,1.87,0.392,5.0,50,49.979,47.53,Transient
0.7085,1.0247,1.446,0.213,0.0,50,49.995,38.49,Normal
0.6028,1.0131,1.681,1.573,80.8,50,49.988,39.27,Sag
1.0108,1.7173,1.699,1.659,108.5,50,49.993,52.12,Swell
0.6977,0.9982,1.431,0.095,0.0,50,50.019,42.0,Normal
0.714,1.006,1.409,9.312,0.0,50,50.023,52.84,Notch
0.7117,1.0089,1.418,0.025,0.0,50,49.996,54.94,Normal
0.7081,1.0291,1.453,0.261,0.0,50,50.037,36.0,Normal
0.7094,1.1162,1.573,7.923,0.0,50,49.986,48.33,Harmonics
0.7103,1.0993,1.548,9.459,0.0,50,49.997,50.43,Harmonics
0.7126,1.01,1.417,0.033,0.0,50,50.013,53.35,Normal
0.7239,1.132,1.564,0.506,34.9,50,50.009,45.83,Swell
0.6982,0.9914,1.42,0.041,0.0,50,50.001,50.92,Normal
0.7077,1.0041,1.419,1.597,0.0,50,50.006,48.44,Notch
0.7082,1.0447,1.475,0.254,0.0,50,49.944,36.22,Normal
0.7101,0.9912,1.396,9.147,0.0,50,49.987,46.11,Harmonics
0.3588,1.0128,2.823,13.027,147.0,50,50.019,35.7,Interruption
0.8275,1.4073,1.701,0.837,76.0,50,50.018,44.86,Swell
0.7095,1.0036,1.414,8.068,0.0,50,49.985,50.24,Harmonics
0.6071,1.0021,1.651,2.834,64.8,50,49.999,54.93,Sag
0.6885,0.9928,1.442,0.134,0.0,50,49.999,38.79,Normal
0.7045,1.0072,1.43,0.067,0.0,50,50.04,45.19,Normal
0.7162,1.0546,1.472,0.191,0.0,50,49.992,35.1,Normal
0.9237,1.4449,1.564,0.881,132.1,50,49.991,44.74,Swell
0.4325,1.0079,2.33,8.835,126.4,50,49.971,38.0,Interruption
0.7099,1.6135,2.273,1.063,5.0,50,49.977,35.3,Transient
0.7076,1.0089,1.426,2.283,0.0,50,50.01,44.95,Notch
0.4307,1.0053,2.334,8.037,124.4,50,49.994,45.41,Interruption
0.6062,1.0056,1.659,3.481,62.3,50,49.975,50.38,Sag
0.372,1.0009,2.691,16.355,146.6,50,49.994,51.73,Interruption
0.5526,1.0178,1.842,1.152,133.7,50,49.99,37.11,Sag
0.7057,1.0124,1.435,0.126,0.0,50,50.024,41.11,Normal
0.7014,1.0049,1.433,0.138,0.0,50,49.976,41.04,Normal
0.7087,1.0105,1.426,0.085,0.0,50,50.04,45.73,Normal
0.6711,1.0027,1.494,1.178,47.7,50,50.002,53.1,Sag
0.7547,1.2186,1.615,0.62,59.6,50,49.987,43.89,Swell
0.7077,1.0369,1.465,1.18,5.0,50,50.006,41.2,Transient
0.7057,1.0284,1.457,0.272,0.0,50,50.01,35.21,Normal
0.7113,1.0347,1.455,10.652,0.0,50,49.982,47.39,Harmonics
0.7177,1.0204,1.422,0.063,0.0,50,49.985,48.96,Normal
0.7864,1.3653,1.736,1.06,57.3,50,50.007,36.26,Swell
0.7196,1.04,1.445,0.155,0.0,50,49.995,39.08,Normal
0.5556,1.0085,1.815,1.691,115.0,50,49.993,40.69,Sag
0.7094,1.0605,1.495,8.204,0.0,50,50.013,38.8,Harmonics
1.0443,1.7146,1.642,0.753,129.6,50,50.031,37.57,Swell
0.6585,1.0119,1.537,4.033,31.1,50,50.008,42.0,Sag
0.701,1.019,1.454,0.298,0.0,50,50.037,35.17,Normal
0.6193,1.0235,1.653,2.351,58.5,50,50.006,36.16,Sag
0.7079,1.0325,1.459,0.025,0.0,50,49.995,54.99,Flicker
0.8562,1.3603,1.589,0.784,114.1,50,49.997,38.47,Swell
0.6317,1.0059,1.592,0.463,100.4,50,50.009,47.31,Sag
0.7103,1.0158,1.43,0.088,0.0,50,49.984,44.38,Normal
0.7074,1.3521,1.911,0.496,5.0,50,50.015,47.96,Transient
0.7161,1.0342,1.444,0.104,0.0,50,49.988,40.77,Normal
0.7118,1.0207,1.434,0.13,0.0,50,50.005,42.11,Flicker
0.7082,1.0248,1.447,4.738,0.0,50,49.96,38.36,Harmonics
0.7119,1.45,2.037,1.849,5.0,50,49.998,53.48,Transient
0.7103,1.0113,1.424,0.051,0.0,50,49.987,48.78,Normal
0.7093,2.2433,3.163,0.632,5.0,50,50.021,45.02,Transient
0.7088,1.0426,1.471,6.636,0.0,50,50.006,36.58,Harmonics
0.7088,1.0045,1.417,1.861,0.0,50,49.988,51.12,Notch
0.7132,1.0137,1.421,0.047,0.0,50,50.024,49.76,Normal
0.7079,1.0577,1.494,5.097,0.0,50,50.023,43.49,Harmonics
0.7137,2.4352,3.412,2.588,5.0,50,49.999,39.51,Transient
0.7854,1.5951,2.031,2.24,31.4,50,50.018,51.45,Swell
0.7141,1.0343,1.448,0.17,0.0,50,50.003,37.6,Normal
0.8292,1.7732,2.138,3.371,37.5,50,50.013,46.57,Swell
0.7023,1.0016,1.426,0.084,0.0,50,50.02,45.99,Normal
0.6711,1.027,1.53,0.425,31.4,50,49.982,37.17,Sag
0.7107,1.0159,1.43,0.079,0.0,50,50.035,45.25,Flicker
0.7096,2.2764,3.208,0.639,5.0,50,50.023,51.85,Transient
0.6818,1.015,1.489,0.489,62.1,50,49.972,41.16,Sag
0.7261,1.1309,1.557,0.109,40.2,50,49.983,49.76,Swell
0.7077,1.0235,1.446,0.06,0.0,50,50.011,46.84,Flicker
0.6388,1.0247,1.604,0.26,134.7,50,49.986,39.45,Sag
0.7359,1.0834,1.472,0.175,0.0,50,49.993,37.16,Flicker
0.7023,1.0031,1.428,0.097,0.0,50,50.021,43.28,Normal
0.7108,1.077,1.515,10.049,0.0,50,49.975,51.9,Harmonics
0.6049,1.0057,1.663,1.35,105.7,50,49.992,46.37,Sag
0.7085,1.1031,1.557,6.213,0.0,50,49.994,46.86,Harmonics
0.7145,1.0615,1.486,0.06,0.0,50,50.005,49.27,Flicker
0.6967,0.9896,1.42,0.032,0.0,50,50.041,51.41,Normal
0.2909,1.0008,3.44,9.279,164.1,50,49.994,47.95,Interruption
0.7084,1.0087,1.424,0.079,0.0,50,50.017,47.16,Normal
0.709,1.0616,1.497,7.665,0.0,50,50.015,35.57,Harmonics
0.7001,0.9979,1.425,0.06,0.0,50,50.009,46.77,Normal
0.7111,1.0237,1.44,0.036,0.0,50,50.026,53.89,Flicker
0.718,1.0194,1.42,0.061,0.0,50,49.93,48.25,Normal
0.7112,1.0128,1.424,0.063,0.0,50,49.969,45.0,Normal
0.53,1.0169,1.919,4.481,101.1,50,49.986,36.06,Sag
0.706,1.1776,1.668,4.283,5.0,50,49.996,43.07,Transient
0.7161,1.0711,1.496,0.068,0.0,50,49.998,44.78,Flicker
0.2754,1.0038,3.645,22.295,169.2,50,49.999,39.6,Interruption
0.7549,1.2596,1.668,0.742,45.1,50,49.968,48.3,Swell
0.7048,1.0007,1.42,0.037,0.0,50,49.977,53.02,Normal
0.7081,1.003,1.416,3.476,0.0,50,50.009,52.23,Notch
0.8343,1.2405,1.487,0.14,158.9,50,49.982,39.74,Swell
0.5437,1.0035,1.846,1.155,125.9,50,50.005,51.86,Sag
0.7878,1.2487,1.585,0.62,89.5,50,49.981,44.15,Swell
0.6127,1.0032,1.638,7.299,48.9,50,49.995,49.92,Interruption
0.6588,1.0075,1.529,2.601,34.9,50,50.006,44.53,Sag
0.7097,1.7086,2.407,0.744,5.0,50,50.002,37.69,Transient
0.7041,1.0238,1.454,0.224,0.0,50,49.991,36.3,Normal
0.244,1.0039,4.115,7.115,173.9,50,49.973,41.98,Interruption
0.7101,1.0355,1.458,0.076,0.0,50,49.978,44.34,Flicker
0.7095,1.6392,2.31,1.158,5.0,50,50.011,45.97,Transient
0.7087,1.0203,1.44,7.676,0.0,50,50.052,42.05,Harmonics
0.7176,2.5096,3.497,4.604,5.0,50,50.035,38.15,Transient
0.7188,1.0254,1.427,0.073,0.0,50,50.048,45.42,Normal
0.7083,1.0057,1.42,0.028,0.0,50,50.0,54.09,Normal
0.7894,1.55,1.964,2.762,33.7,50,49.984,51.39,Swell
0.4604,1.0031,2.179,16.54,116.8,50,49.99,51.51,Interruption
0.7055,1.0027,1.421,0.039,0.0,50,49.988,51.27,Normal
0.7071,1.0252,1.45,0.077,0.0,50,50.036,45.81,Flicker
0.7088,1.0131,1.429,6.733,0.0,50,50.006,38.13,Harmonics
0.6031,1.0114,1.677,5.775,54.8,50,50.027,39.99,Sag
0.6612,1.0079,1.524,0.329,109.3,50,50.009,43.98,Sag
0.7087,1.1103,1.567,7.094,0.0,50,50.022,47.71,Harmonics
0.7074,1.4369,2.031,0.502,5.0,50,49.971,37.2,Transient
0.7127,1.0124,1.421,0.047,0.0,50,49.998,50.63,Normal
0.7026,1.0099,1.437,0.187,0.0,50,49.99,38.77,Normal
0.6973,1.0035,1.439,0.574,22.1,50,50.014,48.93,Sag
0.7015,1.029,1.467,0.179,0.0,50,50.006,37.12,Normal
1.0502,1.6352,1.557,0.788,144.0,50,49.993,51.83,Swell
0.7151,2.63,3.678,1.734,5.0,50,50.008,51.0,Transient
0.7062,1.0062,1.425,0.1,0.0,50,49.994,45.0,Normal
0.7161,1.0152,1.418,0.021,0.0,50,49.985,55.0,Normal
0.7105,1.0122,1.425,3.546,0.0,50,49.98,40.71,Notch
0.7069,1.01,1.429,0.094,0.0,50,50.014,42.72,Normal
0.8787,1.3814,1.572,0.53,125.1,50,50.005,47.39,Swell
0.5379,1.0034,1.865,9.329,82.5,50,49.983,51.24,Sag
0.6586,1.0025,1.522,1.04,70.9,50,50.025,51.15,Sag
0.7565,1.5446,2.042,1.123,22.0,50,49.979,49.34,Swell
0.716,1.0175,1.421,0.056,0.0,50,50.007,48.8,Normal
0.6457,1.012,1.567,1.683,39.4,50,49.936,41.97,Sag
0.4838,1.0042,2.076,2.137,119.0,50,50.041,48.35,Sag
0.7124,1.0095,1.417,0.02,0.0,50,49.979,54.21,Normal
0.7158,1.0198,1.425,0.053,0.0,50,49.98,46.81,Normal
0.8741,1.3557,1.551,0.516,141.3,50,49.98,37.59,Swell
0.7202,1.0278,1.427,0.081,0.0,50,50.012,45.54,Normal
0.4446,1.0015,2.252,7.764,127.7,50,50.02,54.6,Sag
0.7096,1.6279,2.294,0.436,5.0,50,50.022,45.1,Transient
0.6017,1.0061,1.672,1.985,60.2,50,50.005,47.68,Sag
0.4433,1.0008,2.258,1.165,150.4,50,49.982,53.48,Sag
0.7104,1.0541,1.484,0.043,0.0,50,49.973,51.7,Flicker
0.7581,1.2971,1.711,0.644,47.0,50,49.994,50.1,Swell
0.7096,1.0186,1.435,8.293,0.0,50,49.996,47.94,Harmonics
0.707,1.0331,1.461,0.402,5.0,50,50.027,35.89,Transient
0.6963,0.9926,1.426,0.097,0.0,50,49.99,44.48,Normal
0.7095,1.0354,1.459,0.197,0.0,50,49.996,36.36,Normal
0.608,1.004,1.651,0.26,136.7,50,49.998,47.29,Sag
0.6471,1.0108,1.562,6.736,34.6,50,49.982,41.9,Sag
0.7097,1.0308,1.452,0.265,0.0,50,50.003,35.0,Normal
0.7082,1.1412,1.611,0.155,5.0,50,49.986,47.54,Transient
0.6997,1.0163,1.453,0.198,0.0,50,50.027,37.54,Normal
0.5616,1.0021,1.784,0.187,143.3,50,49.993,53.62,Sag
0.6183,1.0151,1.642,5.589,47.6,50,50.018,40.77,Interruption
0.7856,1.3143,1.673,0.872,68.7,50,50.001,38.29,Swell
0.6512,1.0285,1.579,5.321,36.1,50,50.004,37.39,Sag
0.7065,1.4109,1.997,4.245,5.0,50,49.984,42.25,Transient
0.4938,1.0104,2.046,10.11,100.8,50,49.984,38.43,Interruption
0.7077,1.622,2.292,0.978,5.0,50,49.975,41.06,Transient
0.6959,0.9965,1.432,0.132,0.0,50,50.028,40.97,Normal
0.6616,1.0116,1.529,0.964,23.7,50,49.972,41.88,Interruption
0.7025,1.0085,1.435,0.174,0.0,50,50.028,40.9,Normal
0.6157,1.019,1.655,11.294,48.8,50,49.999,37.17,Interruption
0.7021,1.0026,1.428,0.071,0.0,50,50.021,45.57,Normal
0.7081,1.0362,1.463,5.541,0.0,50,50.026,44.63,Harmonics
0.5961,1.0142,1.701,2.126,91.8,50,50.01,38.59,Sag
0.9933,1.5386,1.549,0.726,142.5,50,49.991,54.23,Swell
0.7098,0.9956,1.403,8.987,0.0,50,50.021,42.91,Harmonics
0.7079,1.0127,1.43,0.076,0.0,50,50.017,45.52,Normal
0.7105,1.0133,1.426,0.108,0.0,50,49.985,43.39,Normal
0.7071,1.0162,1.437,0.044,0.0,50,50.014,49.41,Flicker
0.7119,1.1443,1.607,11.68,0.0,50,50.008,54.22,Harmonics
0.5992,1.0134,1.691,2.457,64.8,50,49.994,42.98,Sag
0.7964,1.1758,1.476,0.186,150.5,50,50.007,45.64,Swell
1.0295,1.6017,1.556,0.562,151.1,50,49.989,38.21,Swell
0.7096,1.0298,1.451,0.215,0.0,50,49.985,35.79,Normal
0.3436,1.0048,2.924,5.516,156.0,50,50.015,40.23,Sag
0.7066,1.0125,1.433,0.843,5.0,50,50.024,42.39,Transient
0.7007,0.9942,1.419,0.031,0.0,50,50.035,53.86,Normal
0.708,1.0052,1.42,0.654,0.0,50,49.981,49.6,Notch
0.6476,1.0189,1.573,7.264,34.0,50,50.01,39.63,Interruption
0.7061,1.0047,1.423,0.054,0.0,50,50.004,48.72,Normal
0.7097,2.0585,2.9,1.03,5.0,50,49.977,43.74,Transient
0.5956,1.0248,1.721,1.375,78.2,50,50.015,37.55,Sag
0.7077,1.0521,1.487,4.261,0.0,50,49.99,44.95,Harmonics
0.7087,1.0352,1.461,0.095,0.0,50,50.029,43.86,Flicker
0.708,1.0083,1.424,0.058,0.0,50,49.977,46.65,Normal
0.381,1.0034,2.634,7.79,143.7,50,50.009,38.96,Sag
0.6126,1.0157,1.658,1.15,84.4,50,50.015,39.69,Sag
0.7135,1.0189,1.428,0.085,0.0,50,50.012,43.47,Normal
0.5953,1.0123,1.701,2.656,55.8,50,49.976,42.14,Interruption
0.7076,1.2497,1.766,0.125,5.0,50,50.029,49.71,Transient
0.3894,1.0036,2.577,8.0,138.4,50,50.024,45.27,Interruption
0.395,1.0041,2.542,7.609,143.3,50,49.993,45.25,Sag
0.716,1.0221,1.428,0.072,0.0,50,50.018,45.62,Normal
0.7132,2.0154,2.826,3.744,5.0,50,49.994,43.64,Transient
0.706,1.0004,1.417,0.03,0.0,50,49.994,53.75,Normal
0.7099,1.0088,1.421,8.892,0.0,50,50.001,46.06,Harmonics
0.6278,1.0119,1.612,3.186,41.7,50,50.038,40.38,Interruption
0.6395,1.0072,1.575,1.417,35.0,50,49.981,44.14,Interruption
0.7093,0.949,1.338,8.378,0.0,50,50.035,43.85,Harmonics
0.717,1.0173,1.419,0.025,0.0,50,49.973,53.52,Normal
0.6966,1.0206,1.465,0.276,0.0,50,49.995,35.46,Normal
0.7922,1.7901,2.26,2.625,22.1,50,49.984,43.98,Swell
0.7095,1.0341,1.457,0.213,0.0,50,50.008,36.45,Normal
0.7087,1.0652,1.503,5.339,0.0,50,49.976,37.81,Harmonics
0.3664,1.0015,2.734,11.318,146.0,50,49.983,53.95,Interruption
0.665,1.0109,1.52,1.064,24.6,50,50.034,47.52,Sag
0.7085,1.0301,1.454,0.071,0.0,50,49.999,45.44,Flicker
0.7232,1.2049,1.666,0.592,20.9,50,50.003,36.05,Swell
0.7079,1.0155,1.434,0.113,0.0,50,49.999,40.71,Normal
0.8555,1.7161,2.006,2.359,52.1,50,49.951,35.03,Swell
0.9526,1.6274,1.708,0.454,100.5,50,49.979,47.47,Swell
0.7692,1.1491,1.494,0.279,128.5,50,50.024,42.19,Swell
0.5123,1.0146,1.981,0.551,142.8,50,50.035,38.89,Sag
0.715,1.033,1.445,0.174,0.0,50,49.99,40.82,Normal
0.7102,1.0667,1.502,9.018,0.0,50,49.98,45.47,Harmonics
0.5612,1.005,1.791,1.541,127.9,50,49.973,45.64,Sag
0.8906,1.4126,1.586,0.847,125.7,50,50.013,39.9,Swell
0.5733,1.0106,1.763,2.701,98.7,50,50.002,42.44,Sag
0.6529,1.0196,1.562,2.874,27.1,50,50.028,38.41,Interruption
0.7098,0.9788,1.379,8.843,0.0,50,50.008,49.37,Harmonics
0.5382,1.0009,1.86,1.681,133.7,50,49.976,53.29,Sag
0.6602,1.0037,1.52,3.742,30.7,50,50.05,54.42,Sag
0.714,1.0124,1.418,0.039,0.0,50,50.017,52.61,Normal
0.7185,2.0214,2.813,1.876,5.0,50,49.996,37.71,Transient
0.7698,1.398,1.816,0.799,37.2,50,49.989,46.68,Swell
0.6773,1.0098,1.491,0.554,56.1,50,49.993,42.68,Sag
0.7687,1.195,1.555,0.595,95.8,50,49.994,36.47,Swell
0.7113,1.0168,1.429,0.085,0.0,50,49.997,44.41,Normal
0.7135,2.6063,3.653,1.073,5.0,50,49.984,36.53,Transient
0.6419,1.0042,1.564,2.464,52.5,50,49.989,48.22,Sag
